Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Gradient Boosting,0.7953091684434968,0.6378205128205128,0.5320855614973262,0.5801749271137027,0.8406619005958451
Random Forest,0.767590618336887,0.5465346534653466,0.7379679144385026,0.6279863481228669,0.8358643378146824
Logistic Regression,0.7263681592039801,0.49093904448105435,0.7967914438502673,0.6075433231396534,0.8349765233911922
